,tt,date,dt,db,freq,day_or_night,weather,power,band,pos_towers,average_distance
279,1753,20211003,0.11902071563088512,-12.218455743879472,1483.0790960451977,1,0,5.0,20,2,2394.0
280,1758,20211003,0.12946859903381644,-13.16425120772947,1443.623188405797,1,0,5.0,40,8,985.75
283,1552,20211005,0.20591397849462367,-10.258064516129032,1498.6075268817203,1,0,6.0,40,3,493.6666666666667
284,1548,20211005,0.20591397849462367,-10.258064516129032,1498.6075268817203,1,0,6.0,20,2,1620.0
287,1425,20211007,0.2673913043478261,-10.576086956521738,1508.0380434782608,1,0,10.0,20,23,1501.3478260869565
288,1429,20211007,0.001869158878504689,-9.785046728971963,1502.1682242990655,1,0,10.0,40,37,524.2162162162163
293,1854,20211011,0.31851851851851865,-15.88888888888889,1401.7962962962963,1,0,,20,0,
292,1858,20211011,0.15126582278481013,-11.69620253164557,1377.8259493670887,1,0,6.0,40,2,706.0
294,1827,20211012,0.13910891089108912,-12.267326732673267,1482.7673267326732,1,0,8.0,40,15,947.0
295,1823,20211012,0.2097560975609756,-13.707317073170731,1465.6341463414635,1,0,,20,0,
306,2010,20211013,0.09772727272727272,-13.903409090909092,1506.0,0,0,7.0,40,15,1063.2666666666667
307,1947,20211013,0.10633802816901408,-12.830985915492958,1476.5211267605634,1,0,,20,0,
308,2015,20211013,0.15413533834586465,-13.842105263157896,1254.578947368421,0,0,7.0,20,2,474.0
312,1341,20211015,0.19589041095890414,-13.02283105022831,1494.2054794520548,1,0,5.0,20,7,1358.7142857142858
311,1345,20211015,-0.041025641025641026,-11.794871794871796,1690.820512820513,1,0,5.0,40,18,458.77777777777777
314,926,20211017,0.15207100591715977,-12.106508875739644,1565.3846153846155,1,0,9.0,40,20,647.95
313,920,20211017,0.18711484593837535,-14.162464985994397,1461.2380952380952,1,0,9.0,20,21,1357.7142857142858
320,1438,20211020,0.18011363636363636,-12.761363636363637,1487.7670454545455,1,0,5.0,20,10,1652.5
319,1446,20211020,0.060747663551401855,-12.813084112149532,1682.6588785046729,1,0,5.0,40,16,629.25
321,1603,20211023,0.12403433476394851,-13.611587982832617,1558.793991416309,1,0,6.0,40,16,662.6875
322,1557,20211023,0.061849710982658956,-12.520231213872833,1491.3468208092486,1,0,6.0,20,5,1566.6
324,2210,20211024,-0.17692307692307693,-18.23076923076923,1450.076923076923,0,0,6.0,20,1,5.0
325,2214,20211024,0.05046728971962617,-14.401869158878505,1480.7009345794393,0,0,6.0,40,6,1566.1666666666667
327,910,20211028,0.13448275862068965,-11.540229885057471,1287.4022988505747,1,0,5.0,40,27,654.2592592592592
326,917,20211028,0.04039735099337748,-13.940397350993377,1479.271523178808,1,0,5.0,20,21,1426.904761904762
332,1614,20211029,0.32134831460674157,-11.410112359550562,1334.0842696629213,1,0,10.0,40,35,502.37142857142857
333,1607,20211029,0.3075812274368231,-11.873646209386282,1479.9819494584838,1,0,10.0,20,15,1305.9333333333334
341,1030,20211031,-0.07357142857142858,-12.307142857142857,1368.642857142857,1,0,6.0,20,15,1287.8666666666666
340,1026,20211031,-0.012499999999999997,-13.014705882352942,1368.2279411764705,1,0,6.0,40,6,297.5
417,1150,20211102,0.1442528735632184,-12.649425287356323,1538.9885057471265,1,0,7.0,20,19,1379.5263157894738
416,1146,20211102,0.13559322033898305,-11.847457627118644,1223.406779661017,1,0,7.0,40,52,589.9230769230769
419,1655,20211103,0.19841269841269843,-15.007936507936508,1430.047619047619,1,0,8.0,40,11,1097.5454545454545
418,1650,20211103,0.2842465753424658,-14.047945205479452,1345.2054794520548,1,0,,20,0,
421,1319,20211106,0.3735537190082644,-14.12396694214876,1517.8181818181818,1,0,6.0,20,14,1222.9285714285713
420,1323,20211106,0.25476190476190474,-14.702380952380953,1270.2380952380952,1,0,6.0,40,19,379.42105263157896
423,1451,20211108,-0.022794117647058833,-9.911764705882353,1428.4117647058824,1,0,9.0,20,15,1563.3333333333333
422,1456,20211108,0.06341463414634146,-10.731707317073171,1279.0487804878048,1,0,9.0,40,7,590.0
424,1915,20211109,0.09090909090909091,-15.47979797979798,1505.9141414141413,1,0,7.0,40,6,1272.1666666666667
425,1112,20211110,0.056249999999999994,-13.328125,1395.3203125,1,0,10.0,40,48,493.7083333333333
426,1130,20211110,0.13739837398373983,-12.674796747967479,1532.9349593495936,1,0,10.0,20,5,1036.6
428,1158,20211112,0.2022058823529412,-12.227941176470589,1611.0955882352941,1,0,6.0,20,22,1150.6818181818182
427,1154,20211112,0.10555555555555556,-11.305555555555555,1322.7685185185185,1,0,6.0,40,32,448.0
435,1155,20211117,-0.09866666666666665,-10.36,1705.2,1,0,8.0,40,51,522.7058823529412
436,1205,20211117,0.1909502262443439,-12.787330316742082,1462.606334841629,1,0,8.0,20,19,1221.421052631579
438,932,20211118,0.39828282828282824,-12.466666666666667,1317.4555555555555,1,0,10.0,40,35,610.3428571428572
437,938,20211118,0.3347031963470319,-11.881278538812785,1553.8584474885845,1,0,10.0,20,16,1355.4375
442,1202,20211119,0.17393939393939392,-11.854545454545455,1418.6969696969697,1,0,5.0,40,38,471.6842105263158
443,1212,20211119,0.156140350877193,-13.064327485380117,1481.1959064327486,1,0,5.0,20,22,1600.7727272727273
444,1227,20211121,0.21524663677130051,-13.165919282511211,1342.982062780269,1,0,8.0,20,21,1420.095238095238
445,1221,20211121,0.11395348837209303,-12.093023255813954,1431.0,1,0,8.0,40,29,409.17241379310343
446,1712,20211123,-1.3,-17.4,889.6,1,0,,20,0,
447,1707,20211123,0.24311594202898548,-14.170289855072463,1435.8297101449275,1,0,5.0,40,5,1134.6
450,1056,20211124,0.08295454545454545,-13.18560606060606,1398.4469696969697,1,0,5.0,20,10,1174.4
451,1048,20211124,0.07725321888412018,-10.510729613733906,1335.4463519313306,1,0,5.0,40,60,454.3666666666667
456,1443,20211126,0.39268292682926825,-11.735772357723578,1357.2723577235772,1,0,7.0,40,23,498.69565217391306
457,1438,20211126,0.42545454545454536,-12.024242424242424,1464.1636363636364,1,0,7.0,20,22,1529.7727272727273
458,1540,20211127,0.1759708737864078,-13.422330097087379,1608.6674757281553,1,0,6.0,40,1,428.0
459,1535,20211127,0.19166666666666674,-13.25,1024.648148148148,1,0,6.0,20,1,1375.0
460,948,20211129,0.18459214501510574,-13.492447129909365,1311.8761329305137,1,0,5.0,20,6,1337.8333333333333
461,935,20211129,0.11884057971014492,-13.485507246376812,1401.7246376811595,1,0,5.0,40,4,344.0
1,1602,20211201,0.06315789473684211,-11.807017543859649,1327.6754385964912,1,0,7.0,20,10,1797.8
0,1609,20211201,0.0931372549019608,-12.098039215686274,1348.6274509803923,1,0,7.0,40,20,765.95
3,1015,20211202,0.123773173391494,-13.3773173391494,1421.351145038168,1,0,10.0,20,9,1493.4444444444443
2,1020,20211202,0.12461538461538464,-11.992307692307692,1446.246153846154,1,0,10.0,40,28,758.7857142857143
5,1422,20211203,0.2359649122807018,-11.407894736842104,1490.9912280701753,1,0,8.0,20,15,1720.9333333333334
4,1427,20211203,0.2710843373493976,-11.560240963855422,1554.8975903614457,1,0,8.0,40,10,546.3
10,1058,20211206,0.15,-11.74390243902439,1511.4634146341464,1,0,8.0,40,13,635.9230769230769
11,1114,20211206,0.17230769230769233,-13.353846153846154,1319.6615384615384,1,0,8.0,20,15,1501.7333333333333
12,1626,20211207,0.14594594594594595,-13.608108108108109,1211.418918918919,1,0,5.0,20,4,1237.25
13,1631,20211207,0.14444444444444446,-13.452380952380953,1478.7460317460318,1,0,5.0,40,10,1159.9
14,1456,20211208,-0.061904761904761914,-13.829931972789115,1424.408163265306,1,0,6.0,40,3,541.6666666666666
15,1452,20211208,-0.05519480519480519,-13.311688311688311,1359.6103896103896,1,0,6.0,20,6,1497.0
16,1110,20211209,0.17843137254901964,-15.07843137254902,1286.5196078431372,1,0,7.0,20,3,1095.6666666666667
17,1054,20211209,0.12617449664429528,-11.973154362416107,1347.8926174496644,1,0,7.0,40,23,628.5217391304348
135,1104,20220107,-0.10590405904059041,-12.70479704797048,1605.0369003690037,1,0,9.0,20,13,1235.6923076923076
136,1110,20220107,-0.14148936170212767,-10.98936170212766,1516.4255319148936,1,0,9.0,40,15,546.7333333333333
138,1237,20220108,0.22380952380952385,-13.39047619047619,1654.0809523809523,1,0,7.0,20,8,1391.125
137,1242,20220108,0.12151898734177212,-12.620253164556962,1535.7215189873418,1,0,7.0,40,7,675.0
140,1942,20220111,0.23000000000000004,-17.6,2137.9,1,0,6.0,20,1,875.0
139,1946,20220111,0.023809523809523805,-14.65079365079365,1683.8253968253969,1,0,6.0,40,1,1973.0
142,1547,20220115,0.18271028037383183,-13.107476635514018,1582.8831775700935,1,0,7.0,20,10,1310.2
141,1552,20220115,0.13153846153846155,-13.63076923076923,1406.6884615384615,1,0,7.0,40,12,746.5833333333334
144,1503,20220116,0.17906976744186046,-13.872093023255815,1539.5290697674418,1,0,10.0,20,7,1897.0
143,1507,20220116,0.10729927007299271,-14.036496350364963,1472.036496350365,1,0,10.0,40,38,806.2894736842105
148,1214,20220120,0.05824175824175824,-12.571428571428571,1448.6923076923076,1,0,9.0,40,24,523.4583333333334
147,1229,20220120,0.07631578947368423,-13.929824561403509,1327.1535087719299,1,0,9.0,20,2,1550.0
149,959,20220121,0.055645161290322584,-12.75,1684.1048387096773,1,0,6.0,40,27,664.4444444444445
150,943,20220121,0.21189591078066916,-13.810408921933085,1454.6412639405205,1,0,6.0,20,10,1451.4
151,1617,20220123,0.041666666666666664,-12.319444444444445,1657.9722222222222,1,0,6.0,20,1,1635.0
152,1621,20220123,0.11058823529411764,-13.015686274509804,1571.8588235294117,1,0,6.0,40,10,684.8
154,1412,20220125,0.10846153846153847,-11.761538461538462,1447.1076923076923,1,0,9.0,40,9,468.3333333333333
153,1408,20220125,0.17192982456140352,-11.88888888888889,1518.982456140351,1,0,9.0,20,4,1304.75
155,2210,20220127,0.16098439375750304,-14.975990396158464,1400.3169267707083,0,0,,40,0,
163,1542,20220128,0.19254658385093168,-12.745341614906833,1471.857142857143,1,0,9.0,20,3,1052.3333333333333
162,1546,20220128,0.1366812227074236,-13.655021834061136,1523.5895196506551,1,0,9.0,40,4,519.75
247,1105,20220201,0.06339869281045751,-12.941176470588236,1401.2091503267975,1,0,9.0,20,16,1357.9375
248,1058,20220201,-0.17657657657657658,-11.711711711711711,1508.3153153153153,1,0,9.0,40,36,488.25
252,2303,20220202,0.15895196506550222,-13.724890829694322,1484.6069868995633,0,0,,40,0,
249,2258,20220202,0.5857142857142856,-9.285714285714286,1828.5714285714287,0,0,5.0,20,6,887.5
250,1443,20220202,0.19224137931034482,-12.922413793103448,1641.7758620689656,1,0,6.0,40,23,626.0869565217391
